[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.085 s -- in com.platform.iot.deviceparameter.DeviceParameterExcelImportIntegrationTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.070 s -- in com.platform.iot.deviceparameter.DeviceParameterGovernanceIntegrationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.042 s -- in com.platform.iot.deviceparameter.DeviceParameterLegacyMigrationIntegrationTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.220 s -- in com.platform.iot.deviceparameter.DeviceParameterOperationsServiceTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in com.platform.iot.deviceparameter.DeviceParameterRecalculationServiceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.195 s -- in com.platform.iot.deviceparameter.ingest.DeviceParameterReportHandlerTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.442 s -- in com.platform.iot.energymetadata.api.EnergyPointProfileApiContractTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.481 s -- in com.platform.iot.energymetadata.EnergyPointProfileAuditRollbackTest
[WARNING] Tests run: 1, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0 s -- in com.platform.iot.energymetadata.EnergyPointProfileMysqlIntegrationTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.068 s -- in com.platform.iot.energymetadata.EnergyPointProfileServiceIntegrationTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in com.platform.iot.formula.AhuPowerEfficiencyFormulaTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.platform.iot.formula.ChillerCopFormulaTest
[INFO] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.platform.iot.formula.CoolingTowerEfficiencyFormulaTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.103 s -- in com.platform.iot.formula.FormulaDependencyResolverTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in com.platform.iot.formula.FormulaInputAssemblerTest
[INFO] Tests run: 34, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.285 s -- in com.platform.iot.formula.HvacFormulaEngineTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.220 s -- in com.platform.iot.formula.HvacFormulaRecoverySchedulerTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in com.platform.iot.formula.HvacFormulaRecoveryServiceTest
